================================================================================
Byte-by-byte Description of file: plan_bin500au.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Explanations
--------------------------------------------------------------------------------
   1- 15 A15    ---     Most commonly used name of the parent star
  16- 25 A10    ---     Alternate name (if any, otherwise "X")
  26- 31 F6.3   Msun    Mass of the parent star
  32- 37 F6.3   Msun    Mass of the companion star
  38- 45 F8.2   pc      Distance to the system
  46- 47 I2     ---     Method of detection (1=transit, 2=RV, 3=other)
  48- 54 F7.2   au      semi-major axis of the binary (if orbit known) or projected separation between the 2 stars
  55- 61 F7.3   ---     eccentricicy of the binary's orbit (if orbit unknown then e=99.)
  62- 63 I2     ---     Number of detected planets orbiting the star
  64- 71 F8.4   au      semi-major axis of the outermost planet in the system
  72- 77 F6.3   ---     eccentricity of the outermost planet in the system
  78- 86 F9.5   Mjup    estimated mass of the outermost planet in the system
  87- 93 F7.2   au      critical distance to parent star for orbital stability (assuming coplanarity and using empirical formula of Holman&Wiegert(1999))
  94-101 F8.3   deg     inclination between binary and planetary orbital planes (if unknown then 999.)

Note 1: complete for all S-type planet-hosting binaries of separation <500au
Note 2: when only the radius of the planet is known, its mass is (very) roughly estimated with a crude R_plan**3 scaling.
Note 3: for notes and references on individual systems, please go to exoplanet.eu/planets_binary_notes
--------------------------------------------------------------------------------
       HD197037         X 1.110 0.402   33.50 2 123.00 99.000 1  2.0700 0.220  0.79000  44.65 999.000
       HD195019         X 1.060 0.697   37.65 2 128.00 99.000 1  0.1388 0.014  3.70000  40.10 999.000
      BD+054868 HIP107587 0.700 0.430   43.62 1 130.00 99.000 1  0.0210 0.000  0.00017  41.52 999.000
         HD5278    TOI130 1.126 0.300   56.12 1 130.00 99.000 2  0.2400 0.070  0.06000  49.93 999.000
         GJ338B  HD79211B 0.640 0.690    6.33 2 130.90  0.010 1  0.1410 0.110  0.03230  34.50 999.000
       HD114762         X 0.840 0.090   39.50 2 132.00 99.000 1  0.3530 0.335 10.98000  56.39 999.000
        HD88072         X 1.040 0.162   35.95 2 132.77 99.000 1 13.8950 0.156  7.90000  54.81 999.000
        TOI4336         X 0.331 0.314   22.45 1 133.00  0.790 1  0.0872 0.000  0.01000   5.23 999.000
         TOI564         X 1.100 0.484  280.00 1 133.40 99.000 1  0.0273 0.072  1.46300  46.41 999.000
       HAT-P-27    WASP40 0.945 0.323  204.00 1 133.80 99.000 1  0.0403 0.078  1.00000  49.13 999.000
     Kepler1711    KOI177 1.000 0.920  590.30 1 135.60 99.000 1  0.1490 0.000  0.01600  38.23 999.000
       HD149806         X 0.930 0.102   20.27 2 138.00 99.000 1 12.4040 0.370 12.59000  58.85 999.000
       HD150010         X 1.330 1.000  144.50 2 140.00 99.000 1  1.4000 0.200  2.40000  42.13 999.000
         K2-265         X 0.920 0.400  139.20 1 140.00 99.000 1  0.0340 0.084  0.02000  48.84 999.000
         epsCrB         X 1.440 0.840   74.00 2 146.00 99.000 1  1.3000 0.110  6.70000  47.30 999.000
      Kepler632    KOI640 0.790 0.700  354.20 1 150.00 99.000 1  0.2000 0.000  0.01000  42.82 999.000
       HD217786         X 1.020 0.160   55.00 2 155.10 99.000 1  2.3800 0.400 13.00000  63.97 999.000
       HD148193   TOI1836 1.260 0.300  191.60 1 157.00 99.000 1  0.1577 0.140  0.08900  61.37 999.000
         KELT19    TOI508 1.620 0.900  294.60 1 160.00 99.000 1  0.0760 0.000  4.07000  52.53 999.000
       Kepler61   KOI1361 0.640 0.320  338.20 1 162.30 99.000 1  0.2700 0.250  0.02000  54.75 999.000
      Gamma Leo    HR4057 1.200 0.750   38.50 2 163.00  0.840 1  1.1900 0.144  8.78000   4.77 999.000
       HD157172         X 0.930 0.500   31.90 2 164.00 99.000 1  0.4160 0.460  0.12000  54.31 999.000
        HD98736         X 0.920 0.646   32.47 2 165.00 99.000 1  1.8640 0.220  2.33000  50.70 999.000
        HD11505         X 1.030 0.500   38.97 2 167.20 99.000 1 20.2400 0.144  7.90000  56.82 999.000
     Kepler1002   KOI1890 1.120 0.670  408.30 1 167.40 99.000 1  0.0540 0.000  0.01000  53.86 999.000
        TOI2010         X 1.110 0.500  108.30 1 171.00 99.000 1  0.5516 0.212  1.28600  59.16 999.000
       HD116029         X 1.580 0.260  122.00 2 171.00 99.000 1  1.7800 0.054  2.10000  70.16 999.000
      Kepler967   KOI1830 0.840 0.420  377.20 1 171.20 99.000 2  0.5200 0.000  0.08000  57.75 999.000
         K2-232  HD286123 1.190 0.090  131.20 1 175.00 99.000 1  0.1030 0.258  0.39800  76.52 999.000
          DSTuc  HD222259 1.010 0.840   44.12 1 176.00  0.570 1  0.0795 0.000  0.08800  18.12 999.000
      Kepler482    KOI174 0.750 0.375  315.90 1 176.90 99.000 1  0.2470 0.000  0.02000  59.67 999.000
         HD9578         X 1.120 0.179   56.04 2 182.00 99.000 1  1.2700 0.000  0.62000  74.92 999.000
       Kepler84   KOI1589 1.022 0.511 1023.00 1 184.30 99.000 5  0.2500 0.000  0.02000  62.17 999.000
         GJ2030   HD21019 0.930 0.500   37.08 2 188.00 99.000 2 16.7500 0.045 12.93000  62.25 999.000
        TOI3321	        X 1.041 0.150  286.00 1 189.60 99.000 1  0.0470 0.054  0.55400  78.90 999.000
     Kepler1319   KOI2705 0.557 0.146  104.20 1 197.00 99.000 1  0.0290 0.000  0.00500  75.86 999.000
